n,W,family,instance_idx,solver,value,optimal_value,opt_gap_pct,weight,capacity,feasible,time_s,items_selected
20,50,uncorrelated,0,dp,152,152,0.0,50,50,True,0.000169,8
20,50,uncorrelated,0,greedy,150,152,1.32,43,50,True,1.3e-05,8
20,50,uncorrelated,0,ml_rf,150,152,1.32,43,50,True,0.156668,8
20,50,uncorrelated,0,ml_mlp,150,152,1.32,43,50,True,0.003945,8
20,50,uncorrelated,1,dp,115,115,0.0,48,50,True,0.000159,7
20,50,uncorrelated,1,greedy,115,115,0.0,48,50,True,1e-05,7
20,50,uncorrelated,1,ml_rf,104,115,9.57,36,50,True,0.03099,6
20,50,uncorrelated,1,ml_mlp,104,115,9.57,36,50,True,0.000385,6
20,50,uncorrelated,2,dp,84,84,0.0,49,50,True,0.000144,5
20,50,uncorrelated,2,greedy,79,84,5.95,43,50,True,9e-06,5
20,50,uncorrelated,2,ml_rf,65,84,22.62,30,50,True,0.042641,4
20,50,uncorrelated,2,ml_mlp,65,84,22.62,30,50,True,0.000715,4
20,50,uncorrelated,3,dp,120,120,0.0,50,50,True,0.000222,9
20,50,uncorrelated,3,greedy,120,120,0.0,50,50,True,2.7e-05,9
20,50,uncorrelated,3,ml_rf,117,120,2.5,47,50,True,0.042158,8
20,50,uncorrelated,3,ml_mlp,105,120,12.5,39,50,True,0.000872,7
20,50,uncorrelated,4,dp,81,81,0.0,49,50,True,0.000257,6
20,50,uncorrelated,4,greedy,79,81,2.47,47,50,True,1.5e-05,8
20,50,uncorrelated,4,ml_rf,60,81,25.93,22,50,True,0.052533,6
20,50,uncorrelated,4,ml_mlp,77,81,4.94,39,50,True,0.000633,7
20,50,uncorrelated,5,dp,90,90,0.0,49,50,True,0.000203,6
20,50,uncorrelated,5,greedy,89,90,1.11,46,50,True,1.2e-05,6
20,50,uncorrelated,5,ml_rf,84,90,6.67,42,50,True,0.096021,5
20,50,uncorrelated,5,ml_mlp,89,90,1.11,46,50,True,0.001344,6
20,50,uncorrelated,6,dp,98,98,0.0,50,50,True,0.000311,7
20,50,uncorrelated,6,greedy,98,98,0.0,50,50,True,1.9e-05,7
20,50,uncorrelated,6,ml_rf,93,98,5.1,42,50,True,0.076077,6
20,50,uncorrelated,6,ml_mlp,93,98,5.1,42,50,True,0.000803,6
20,50,uncorrelated,7,dp,111,111,0.0,50,50,True,0.000259,7
20,50,uncorrelated,7,greedy,111,111,0.0,50,50,True,1.7e-05,7
20,50,uncorrelated,7,ml_rf,111,111,0.0,50,50,True,0.06085,7
20,50,uncorrelated,7,ml_mlp,111,111,0.0,50,50,True,0.000974,7
20,50,uncorrelated,8,dp,85,85,0.0,50,50,True,0.000303,5
20,50,uncorrelated,8,greedy,85,85,0.0,45,50,True,1.9e-05,5
20,50,uncorrelated,8,ml_rf,74,85,12.94,34,50,True,0.048823,4
20,50,uncorrelated,8,ml_mlp,74,85,12.94,34,50,True,0.000403,4
20,50,uncorrelated,9,dp,99,99,0.0,50,50,True,0.000165,7
20,50,uncorrelated,9,greedy,99,99,0.0,50,50,True,1e-05,7
20,50,uncorrelated,9,ml_rf,99,99,0.0,50,50,True,0.042432,7
20,50,uncorrelated,9,ml_mlp,99,99,0.0,50,50,True,0.000862,7
20,50,uncorrelated,10,dp,123,123,0.0,49,50,True,0.000243,7
