problem,method,family,instance_id,n,objective_value,optimality_gap,runtime_seconds
scheduling,DP,sparse,0,20,793.0,0.0,2.2599997464567423e-05
scheduling,Greedy_EF,sparse,0,20,747.0,0.058007566204287514,1.9800005247816443e-05
scheduling,Greedy_HW,sparse,0,20,793.0,0.0,1.4900011592544615e-05
scheduling,Greedy_BR,sparse,0,20,765.0,0.03530895334174023,2.0500010577961802e-05
scheduling,ML_RF,sparse,0,20,793,0.0,0.02727730000333395
scheduling,ML_MLP,sparse,0,20,793,0.0,0.001082599992514588
scheduling,DP,sparse,1,20,725.0,0.0,4.3199994252063334e-05
scheduling,Greedy_EF,sparse,1,20,674.0,0.0703448275862069,2.5600005756132305e-05
scheduling,Greedy_HW,sparse,1,20,675.0,0.06896551724137931,2.030000905506313e-05
scheduling,Greedy_BR,sparse,1,20,675.0,0.06896551724137931,2.7000001864507794e-05
scheduling,ML_RF,sparse,1,20,675,0.06896551724137931,0.026684900003601797
scheduling,ML_MLP,sparse,1,20,725,0.0,0.0007589000015286729
scheduling,DP,sparse,2,20,857.0,0.0,2.239999594166875e-05
scheduling,Greedy_EF,sparse,2,20,857.0,0.0,1.580000389367342e-05
scheduling,Greedy_HW,sparse,2,20,857.0,0.0,1.3600001693703234e-05
scheduling,Greedy_BR,sparse,2,20,857.0,0.0,1.8799997633323073e-05
scheduling,ML_RF,sparse,2,20,857,0.0,0.025545500000589527
scheduling,ML_MLP,sparse,2,20,857,0.0,0.0007945999968796968
scheduling,DP,sparse,3,20,862.0,0.0,2.2799998987466097e-05
scheduling,Greedy_EF,sparse,3,20,760.0,0.11832946635730858,2.099999983329326e-05
scheduling,Greedy_HW,sparse,3,20,862.0,0.0,1.6699996194802225e-05
scheduling,Greedy_BR,sparse,3,20,822.0,0.04640371229698376,2.169999061152339e-05
scheduling,ML_RF,sparse,3,20,862,0.0,0.02589089999673888
scheduling,ML_MLP,sparse,3,20,862,0.0,0.0008458000083919615
scheduling,DP,sparse,4,20,826.0,0.0,2.19999928958714e-05
scheduling,Greedy_EF,sparse,4,20,728.0,0.11864406779661017,1.5700003132224083e-05
scheduling,Greedy_HW,sparse,4,20,826.0,0.0,1.340000017080456e-05
scheduling,Greedy_BR,sparse,4,20,806.0,0.024213075060532687,1.7700003809295595e-05
scheduling,ML_RF,sparse,4,20,826,0.0,0.025703399995109066
scheduling,ML_MLP,sparse,4,20,826,0.0,0.0007248999900184572
scheduling,DP,sparse,5,20,770.0,0.0,2.2100008209235966e-05
scheduling,Greedy_EF,sparse,5,20,686.0,0.10909090909090909,1.6200006939470768e-05
scheduling,Greedy_HW,sparse,5,20,770.0,0.0,1.4399993233382702e-05
scheduling,Greedy_BR,sparse,5,20,729.0,0.053246753246753244,1.930000144056976e-05
scheduling,ML_RF,sparse,5,20,764,0.007792207792207792,0.026814899989403784
scheduling,ML_MLP,sparse,5,20,764,0.007792207792207792,0.0010494000016478822
scheduling,DP,sparse,6,20,733.0,0.0,2.2299995180219412e-05
scheduling,Greedy_EF,sparse,6,20,667.0,0.09004092769440655,1.6299993149004877e-05
scheduling,Greedy_HW,sparse,6,20,733.0,0.0,1.4200006262399256e-05
scheduling,Greedy_BR,sparse,6,20,708.0,0.034106412005457026,1.9500002963468432e-05
scheduling,ML_RF,sparse,6,20,733,0.0,0.024960900002042763
scheduling,ML_MLP,sparse,6,20,733,0.0,0.0011976999958278611
scheduling,DP,sparse,7,20,759.0,0.0,2.2100008209235966e-05
scheduling,Greedy_EF,sparse,7,20,715.0,0.057971014492753624,1.5999990864656866e-05
scheduling,Greedy_HW,sparse,7,20,727.0,0.04216073781291173,1.2799995602108538e-05
scheduling,Greedy_BR,sparse,7,20,752.0,0.00922266139657444,1.8400009139440954e-05
scheduling,ML_RF,sparse,7,20,759,0.0,0.024962700001196936
scheduling,ML_MLP,sparse,7,20,727,0.04216073781291173,0.0008473999914713204
scheduling,DP,sparse,8,20,612.0,0.0,2.160000440198928e-05
scheduling,Greedy_EF,sparse,8,20,454.0,0.2581699346405229,1.3700002455152571e-05
scheduling,Greedy_HW,sparse,8,20,612.0,0.0,1.09999964479357e-05
scheduling,Greedy_BR,sparse,8,20,612.0,0.0,1.619999238755554e-05
scheduling,ML_RF,sparse,8,20,612,0.0,0.02535929999430664
scheduling,ML_MLP,sparse,8,20,612,0.0,0.0007990000012796372
scheduling,DP,sparse,9,20,808.0,0.0,2.8700000257231295e-05
scheduling,Greedy_EF,sparse,9,20,692.0,0.14356435643564355,2.0699997548945248e-05
scheduling,Greedy_HW,sparse,9,20,808.0,0.0,1.6699996194802225e-05
scheduling,Greedy_BR,sparse,9,20,768.0,0.04950495049504951,2.3600005079060793e-05
scheduling,ML_RF,sparse,9,20,808,0.0,0.025896000006468967
scheduling,ML_MLP,sparse,9,20,808,0.0,0.0007033000001683831
scheduling,DP,sparse,10,50,1701.0,0.0,7.029999687802047e-05
scheduling,Greedy_EF,sparse,10,50,1526.0,0.102880658436214,4.679999256040901e-05
scheduling,Greedy_HW,sparse,10,50,1631.0,0.0411522633744856,4.7599998652003706e-05
scheduling,Greedy_BR,sparse,10,50,1688.0,0.007642563198118754,5.780000356025994e-05
scheduling,ML_RF,sparse,10,50,1701,0.0,0.02664050000021234
scheduling,ML_MLP,sparse,10,50,1688,0.007642563198118754,0.0014017000066814944
scheduling,DP,sparse,11,50,1773.0,0.0,6.979999307077378e-05
scheduling,Greedy_EF,sparse,11,50,1545.0,0.12859560067681894,4.749999789055437e-05
scheduling,Greedy_HW,sparse,11,50,1738.0,0.019740552735476594,4.8300003982149065e-05
scheduling,Greedy_BR,sparse,11,50,1496.0,0.1562323745064862,6.120000034570694e-05
scheduling,ML_RF,sparse,11,50,1773,0.0,0.025645200003054924
scheduling,ML_MLP,sparse,11,50,1773,0.0,0.0013156999921193346
scheduling,DP,sparse,12,50,1765.0,0.0,7.029999687802047e-05
scheduling,Greedy_EF,sparse,12,50,1483.0,0.15977337110481588,4.719999560620636e-05
scheduling,Greedy_HW,sparse,12,50,1728.0,0.020963172804532578,4.939999780617654e-05
scheduling,Greedy_BR,sparse,12,50,1706.0,0.03342776203966006,6.160000339150429e-05
scheduling,ML_RF,sparse,12,50,1728,0.020963172804532578,0.02642980001110118
scheduling,ML_MLP,sparse,12,50,1765,0.0,0.001283499994315207
scheduling,DP,sparse,13,50,1929.0,0.0,7.2900002123788e-05
scheduling,Greedy_EF,sparse,13,50,1759.0,0.08812856402280975,5.2100003813393414e-05
scheduling,Greedy_HW,sparse,13,50,1896.0,0.017107309486780714,5.399998917710036e-05
scheduling,Greedy_BR,sparse,13,50,1905.0,0.012441679626749611,7.080000068526715e-05
scheduling,ML_RF,sparse,13,50,1929,0.0,0.026170299999648705
scheduling,ML_MLP,sparse,13,50,1929,0.0,0.0013258999970275909
scheduling,DP,sparse,14,50,1845.0,0.0,7.160000677686185e-05
scheduling,Greedy_EF,sparse,14,50,1604.0,0.13062330623306234,4.719999560620636e-05
scheduling,Greedy_HW,sparse,14,50,1845.0,0.0,5.259999306872487e-05
scheduling,Greedy_BR,sparse,14,50,1806.0,0.02113821138211382,6.36000040685758e-05
scheduling,ML_RF,sparse,14,50,1835,0.005420054200542005,0.026211100004729815
scheduling,ML_MLP,sparse,14,50,1835,0.005420054200542005,0.001259199998457916
scheduling,DP,sparse,15,50,1968.0,0.0,7.179999374784529e-05
scheduling,Greedy_EF,sparse,15,50,1861.0,0.05436991869918699,4.879999323748052e-05
scheduling,Greedy_HW,sparse,15,50,1968.0,0.0,5.7199998991563916e-05
scheduling,Greedy_BR,sparse,15,50,1953.0,0.007621951219512195,6.9500005338341e-05
scheduling,ML_RF,sparse,15,50,1968,0.0,0.025997900011134334
scheduling,ML_MLP,sparse,15,50,1968,0.0,0.001279799995245412
scheduling,DP,sparse,16,50,1778.0,0.0,0.0001109000004362315
scheduling,Greedy_EF,sparse,16,50,1653.0,0.0703037120359955,7.40000104997307e-05
scheduling,Greedy_HW,sparse,16,50,1734.0,0.024746906636670417,7.37000082153827e-05
scheduling,Greedy_BR,sparse,16,50,1732.0,0.025871766029246346,7.12000037310645e-05
scheduling,ML_RF,sparse,16,50,1778,0.0,0.026043299993034452
scheduling,ML_MLP,sparse,16,50,1778,0.0,0.0012860999995609745
